__time,/plot_data/data.0,/plot_data/data.1,/plot_data/data.10,/plot_data/data.11,/plot_data/data.12,/plot_data/data.13,/plot_data/data.14,/plot_data/data.15,/plot_data/data.16,/plot_data/data.17,/plot_data/data.18,/plot_data/data.19,/plot_data/data.2,/plot_data/data.20,/plot_data/data.21,/plot_data/data.22,/plot_data/data.23,/plot_data/data.24,/plot_data/data.25,/plot_data/data.26,/plot_data/data.27,/plot_data/data.28,/plot_data/data.29,/plot_data/data.3,/plot_data/data.30,/plot_data/data.31,/plot_data/data.32,/plot_data/data.33,/plot_data/data.34,/plot_data/data.35,/plot_data/data.36,/plot_data/data.37,/plot_data/data.38,/plot_data/data.39,/plot_data/data.4,/plot_data/data.40,/plot_data/data.41,/plot_data/data.42,/plot_data/data.43,/plot_data/data.44,/plot_data/data.45,/plot_data/data.46,/plot_data/data.47,/plot_data/data.48,/plot_data/data.49,/plot_data/data.5,/plot_data/data.50,/plot_data/data.51,/plot_data/data.52,/plot_data/data.53,/plot_data/data.54,/plot_data/data.55,/plot_data/data.56,/plot_data/data.57,/plot_data/data.58,/plot_data/data.59,/plot_data/data.6,/plot_data/data.60,/plot_data/data.61,/plot_data/data.62,/plot_data/data.63,/plot_data/data.7,/plot_data/data.8,/plot_data/data.9
1706604281.682232,5.000000000,1.000000000,0.325299144,0.766399980,-0.684254863,-0.023531330,0.162529159,-3.030100107,0.325299144,0.766399980,-1.798750488,8.397599658,0.114025961,-5.597395099,2.059068013,0.006079051,-0.863917044,3.201249512,3.397599658,4.402604901,3.470859899,0.000000000,0.000000000,0.069035318,-0.000858348,-0.001033359,0.001454077,0.000000000,-0.000000000,0.000000000,0.040595974,0.044309587,0.029485279,0.069417198,-0.144416849,0.000000000,0.000000000,0.003201250,0.003397600,0.004402605,0.006941720,-0.000000000,0.000000000,-0.684254863,-0.023531330,0.000000000,0.162529159,2.982139719,0.305252192,-0.061890764,-1.798750488,8.397599658,-5.597395099,0.470859899,0.040768473,-0.301495071,-0.684320927,0.000000000,0.000000000,0.000000000,0.000000000,-0.023474390,0.162519217,-3.030100107
1706604281.783108,5.000000000,1.000000000,0.325299144,0.766399980,-0.684227559,-0.023973146,0.161847672,-3.029627697,0.324811351,0.766342227,-1.828750507,8.346599636,0.102741242,-5.608394397,2.053968013,0.009479052,-0.868367045,3.171249493,3.346599636,4.391605603,3.460276384,0.000000000,0.000000000,0.073485320,0.000000000,0.000000000,-0.000000000,0.000000000,-0.000000000,0.000000000,0.031712495,0.033465996,0.043916056,0.069205528,-0.136866843,0.000000000,0.000000000,0.003171249,0.003346600,0.004391606,0.006920553,-0.000000000,0.000000000,-0.684254863,-0.023531330,0.000000000,0.162529159,2.982139719,0.305252192,-0.061890764,-1.828750507,8.346599636,-5.608394397,0.460276384,0.045162928,-0.295600016,-0.684320927,0.000000000,0.000000000,0.000000000,0.000000000,-0.023474390,0.162519217,-3.030100107
1706604281.882982,5.000000000,1.000000000,0.325239301,0.766392887,-0.684229790,-0.023967523,0.161849484,-3.029629138,0.324812838,0.766342403,-2.152750240,7.598226340,0.032765616,-5.682615093,2.039873731,0.010079350,-0.945368906,2.847249760,2.598226340,4.317384907,3.395032328,0.000000000,0.000000000,0.085425609,0.000397717,0.000421887,0.000537992,0.000851510,0.000000120,0.000000193,0.024495332,0.021763397,0.037793927,0.067049137,-0.084268809,-0.000000120,-0.000000193,0.002847250,0.002598226,0.004317385,0.007556423,0.000000108,0.000000174,-0.684254863,-0.023531330,0.000000000,0.162529159,2.982139719,0.305252192,-0.061890764,-2.152750240,7.598226340,-5.682615093,0.395032328,0.056728403,-0.259877680,-0.684308946,0.000000000,0.000000000,0.000000000,0.000000000,-0.023536080,0.162436962,-3.030042171
1706604281.982966,5.000000000,1.000000000,0.325089008,0.766375124,-0.684251995,-0.023959779,0.161753149,-3.029527951,0.324708312,0.766329958,-2.443246154,6.703279884,0.048334563,-5.588670734,2.049188061,-0.006969884,-1.013323581,2.556753846,1.703279884,4.411329266,3.404612322,0.000000000,0.000000000,0.078543731,0.000976794,0.001031977,0.001358092,0.002136198,0.000002555,-0.000000147,0.015799602,0.006713025,0.030532374,0.065956049,-0.036025119,-0.000002555,0.000000147,0.002556754,0.001703280,0.004411329,0.008731802,0.000002300,-0.000000133,-0.684254863,-0.023531330,0.000000000,0.162529159,2.982139719,0.305252192,-0.061890764,-2.443246154,6.703279884,-5.588670734,0.404612322,0.050320944,-0.225633625,-0.684281111,0.000000000,0.000000000,0.000000000,0.000000000,-0.023688193,0.162230015,-3.029896975
1706604282.083163,5.000000000,1.000000000,0.325088978,0.766375124,-0.684265710,-0.024036816,0.161496531,-3.029302941,0.324475281,0.766302309,-3.022745808,5.277279601,0.115124218,-5.340171598,2.066488071,-0.025369884,-1.121923580,1.977254192,0.277279601,4.659828402,3.455560158,0.000000000,0.000000000,0.080426219,-0.000035504,-0.000059538,-0.000028042,0.000000209,0.000000209,-0.000000033,0.020127579,0.003368174,0.046878702,0.069110994,0.087174743,-0.000000209,0.000000033,0.001977254,0.000277280,0.004659828,0.006911309,0.000000188,-0.000000030,-0.684254863,-0.023531330,0.000000000,0.162529159,2.982139719,0.305252192,-0.061890764,-3.022745808,5.277279601,-5.340171598,0.455560158,0.053458353,-0.132175564,-0.684283555,0.000000000,0.000000000,0.000000000,0.000000000,-0.023681710,0.162232816,-3.029896975
1706604282.300586,5.000000000,1.000000000,0.324804336,0.766341388,-0.684310070,-0.023867881,0.161527458,-3.029426668,0.324603319,0.766317527,-4.036245207,4.294745008,0.502144007,-4.322218292,2.080715249,0.001681538,-1.422332425,0.963754793,-0.705254992,5.677781708,3.777685423,0.000000000,0.000000000,0.142950120,0.001158363,0.000171230,0.002723840,0.004050408,0.000000349,0.000000048,-0.001946081,-0.008764853,0.029539420,0.071503300,0.192165658,-0.000000349,-0.000000048,0.000963755,-0.000705255,0.005677782,0.011200738,0.000000314,0.000000043,-0.684254863,-0.023531330,0.000000000,0.162529159,2.982139719,0.305252192,-0.061890764,-4.036245207,4.294745008,-4.322218292,0.777685423,0.121122918,-0.086833437,-0.684298933,0.000000000,0.000000000,0.000000000,0.000000000,-0.023791488,0.161820233,-3.029621363
1706604282.400805,5.000000000,1.000000000,0.324804336,0.766341388,-0.684496302,-0.023939202,0.160903387,-3.028859237,0.324017296,0.766247697,-4.978745215,4.131244890,0.795221671,-3.652217835,2.111515234,0.017731540,-1.850182434,0.021254785,-0.868755110,6.347782165,4.028050558,0.000000000,0.000000000,0.191987622,-0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000212548,-0.008687551,0.063477822,0.080561011,0.141315652,0.000000000,-0.000000000,0.000021255,-0.000868755,0.006347782,0.008056101,0.000000000,0.000000000,-0.684254863,-0.023531330,0.000000000,0.162529159,2.982139719,0.305252192,-0.061890764,-4.978745215,4.131244890,-3.652217835,1.028050558,0.173543922,-0.196942142,-0.684298933,0.000000000,0.000000000,0.000000000,0.000000000,-0.023791488,0.161820233,-3.029621363
1706604282.613717,5.000000000,1.000000000,0.324425757,0.766296387,-0.684573627,-0.023889641,0.160962328,-3.029073176,0.324238268,0.766274068,-5.966743211,5.086054072,0.951069803,-3.875108600,2.323101350,0.123083427,-2.343044207,-0.966743211,0.086054072,6.124891400,4.198107976,0.000000000,0.000000000,0.331919439,0.000121890,-0.000521817,0.004081005,0.005386571,0.000001213,0.000000129,-0.010886329,0.006078710,0.020438859,0.078575588,0.043653078,-0.000001213,-0.000000129,-0.000966743,0.000086054,0.006124891,0.013244130,0.000001092,0.000000116,-0.684254863,-0.023531330,0.000000000,0.162529159,2.982139719,0.305252192,-0.061890764,-5.966743211,5.086054072,-3.875108600,1.198107976,0.312350141,-0.362411375,-0.684467435,0.000000000,0.000000000,0.000000000,0.000000000,-0.023861114,0.161259651,-3.029254913
1706604282.713661,5.000000000,1.000000000,0.324425757,0.766296387,-0.684884584,-0.024105479,0.160308005,-3.028353889,0.323495131,0.766185179,-5.513243203,7.015554175,0.959702288,-4.668108630,2.581401344,0.202283425,-2.189094195,-0.513243203,2.015554175,5.331891370,4.257294214,0.000000000,0.000000000,0.395246937,-0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,-0.000000000,-0.005132432,0.020155542,0.053318914,0.085145884,0.016203086,0.000000000,0.000000000,-0.000513243,0.002015554,0.005331891,0.008514588,0.000000000,-0.000000000,-0.684254863,-0.023531330,0.000000000,0.162529159,2.982139719,0.305252192,-0.061890764,-5.513243203,7.015554175,-4.668108630,1.257294214,0.371672988,-0.370694717,-0.684467435,0.000000000,0.000000000,0.000000000,0.000000000,-0.023861114,0.161259651,-3.029254913
1706604282.813686,5.000000000,1.000000000,0.324280530,0.766279101,-0.684770667,-0.024232063,0.160542750,-3.028675575,0.323827499,0.766225003,-5.491743541,7.993219019,0.979521952,-5.229139866,2.791415233,0.236934146,-2.238198710,-0.491743541,2.993219019,4.770860134,4.312879618,0.000000000,0.000000000,0.429145170,-0.000078202,-0.000265739,0.001757464,0.002067041,-0.000000196,-0.000000097,-0.004135413,0.032589575,0.030133957,0.084190552,-0.041501294,0.000000196,0.000000097,-0.000491744,0.002993219,0.004770860,0.010486096,-0.000000176,-0.000000087,-0.684254863,-0.023531330,0.000000000,0.162529159,2.982139719,0.305252192,-0.061890764,-5.491743541,7.993219019,-5.229139866,1.312879618,0.402738013,-0.431965700,-0.684549749,0.000000000,0.000000000,0.000000000,0.000000000,-0.023883218,0.161029264,-3.029114246
