__time,/plot_data/data.0,/plot_data/data.1,/plot_data/data.10,/plot_data/data.11,/plot_data/data.12,/plot_data/data.13,/plot_data/data.14,/plot_data/data.15,/plot_data/data.16,/plot_data/data.17,/plot_data/data.18,/plot_data/data.19,/plot_data/data.2,/plot_data/data.20,/plot_data/data.21,/plot_data/data.22,/plot_data/data.23,/plot_data/data.24,/plot_data/data.25,/plot_data/data.26,/plot_data/data.27,/plot_data/data.28,/plot_data/data.29,/plot_data/data.3,/plot_data/data.30,/plot_data/data.31,/plot_data/data.32,/plot_data/data.33,/plot_data/data.34,/plot_data/data.35,/plot_data/data.36,/plot_data/data.37,/plot_data/data.38,/plot_data/data.39,/plot_data/data.4,/plot_data/data.40,/plot_data/data.41,/plot_data/data.42,/plot_data/data.43,/plot_data/data.44,/plot_data/data.45,/plot_data/data.46,/plot_data/data.47,/plot_data/data.48,/plot_data/data.49,/plot_data/data.5,/plot_data/data.50,/plot_data/data.51,/plot_data/data.52,/plot_data/data.53,/plot_data/data.54,/plot_data/data.55,/plot_data/data.56,/plot_data/data.57,/plot_data/data.58,/plot_data/data.59,/plot_data/data.6,/plot_data/data.60,/plot_data/data.61,/plot_data/data.62,/plot_data/data.63,/plot_data/data.7,/plot_data/data.8,/plot_data/data.9,/robotiq_ft_wrench/header/seq,/robotiq_ft_wrench/header/stamp,/robotiq_ft_wrench/wrench/force/x,/robotiq_ft_wrench/wrench/force/y,/robotiq_ft_wrench/wrench/force/z,/robotiq_ft_wrench/wrench/torque/x,/robotiq_ft_wrench/wrench/torque/y,/robotiq_ft_wrench/wrench/torque/z
1701093015.897850,-0.699445069,0.007527950,-0.018820226,0.002363298,-1.310875526,2.673228040,-7.076890521,0.022416218,0.001073271,-0.223319259,0.000373782,-0.000346535,0.165945441,0.000658462,-0.000836450,-0.001399538,-0.000148880,1.000000000,1.000000000,-2.714777009,0.046953914,0.301030952,18.689124474,3.128861666,-17.326771960,32.923109479,-0.627337730,-0.699768897,-0.223319259,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.015864268,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.787732840,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,32764.000000000,-0.698910586,-524315568.000000000,32764.000000000,0.000000000,0.000000000,0.007965897,0.165298497,-3.140215251,,,,,,,,
1701093015.902886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144504.000000000,1701093015.902480125,-3.240000010,17.180000305,95.660003662,0.479000002,-0.411000013,-0.310999990
1701093015.919054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144505.000000000,1701093015.918720961,-3.210000038,17.209999084,95.660003662,0.477999985,-0.414000005,-0.312000006
1701093015.935376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144506.000000000,1701093015.934972286,-3.240000010,17.270000458,95.680000305,0.474000007,-0.412999988,-0.312000006
1701093015.947516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144507.000000000,1701093015.947178364,-3.250000000,17.290000916,95.720001221,0.474000007,-0.412999988,-0.314000010
1701093015.963721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144508.000000000,1701093015.963590145,-3.250000000,17.299999237,95.709999084,0.479999989,-0.411000013,-0.312000006
1701093015.980338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144509.000000000,1701093015.980094194,-3.250000000,17.250000000,95.680000305,0.474000007,-0.412000000,-0.310000002
1701093015.996944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144510.000000000,1701093015.996622086,-3.250000000,17.260000229,95.669998169,0.472999990,-0.412000000,-0.310999990
1701093015.998063,-0.699445069,0.007527950,-0.018819638,0.002363232,-1.300375536,2.671227994,-7.086890750,0.022366216,0.001173269,-0.223219260,0.000373992,-0.000346575,0.165945441,0.000658262,-0.000836617,-0.001400125,-0.000148813,1.000000000,1.000000000,-2.718897104,0.046686413,0.296930955,18.699624464,3.128861666,-17.328772006,32.913109250,-0.627462734,-0.700062648,-0.223219260,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.015864268,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.787732840,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,32764.000000000,-0.698910318,-524315568.000000000,32764.000000000,0.000000000,0.000000000,0.007965954,0.165298703,-3.140215417,,,,,,,,
1701093016.013089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144511.000000000,1701093016.012896299,-3.210000038,17.270000458,95.680000305,0.476000011,-0.412000000,-0.312000006
