__time,/plot_data/data.0,/plot_data/data.1,/plot_data/data.10,/plot_data/data.11,/plot_data/data.12,/plot_data/data.13,/plot_data/data.14,/plot_data/data.15,/plot_data/data.16,/plot_data/data.17,/plot_data/data.18,/plot_data/data.19,/plot_data/data.2,/plot_data/data.20,/plot_data/data.21,/plot_data/data.22,/plot_data/data.23,/plot_data/data.24,/plot_data/data.25,/plot_data/data.26,/plot_data/data.27,/plot_data/data.28,/plot_data/data.29,/plot_data/data.3,/plot_data/data.30,/plot_data/data.31,/plot_data/data.32,/plot_data/data.33,/plot_data/data.34,/plot_data/data.35,/plot_data/data.36,/plot_data/data.37,/plot_data/data.38,/plot_data/data.39,/plot_data/data.4,/plot_data/data.40,/plot_data/data.41,/plot_data/data.42,/plot_data/data.43,/plot_data/data.44,/plot_data/data.45,/plot_data/data.46,/plot_data/data.47,/plot_data/data.48,/plot_data/data.49,/plot_data/data.5,/plot_data/data.50,/plot_data/data.51,/plot_data/data.52,/plot_data/data.53,/plot_data/data.54,/plot_data/data.55,/plot_data/data.56,/plot_data/data.57,/plot_data/data.58,/plot_data/data.59,/plot_data/data.6,/plot_data/data.60,/plot_data/data.61,/plot_data/data.62,/plot_data/data.63,/plot_data/data.7,/plot_data/data.8,/plot_data/data.9
1706507474.570046,6.000000000,1.000000000,0.234345675,0.638776720,-0.737896011,-0.031165271,0.123163303,-2.901098461,0.234383325,0.638786176,4.446517538,-5.531648916,-3.520121873,-0.826082500,0.653918839,0.038920432,-6.177257883,4.446517538,-5.531648916,-0.826082500,0.129878127,0.000000000,-7.955864898,0.233292318,-0.000464877,-0.000381735,-0.000041413,-0.000416817,-0.000001816,-0.000000216,0.009125473,-0.010872431,-0.000392335,0.003014379,1.544135102,0.000001816,-0.039779109,0.000447671,-0.001468978,-0.000080646,-0.000115379,-0.000001634,-0.003978127,-0.712594701,-0.015930791,0.000000000,0.186390782,2.934333755,0.334251681,-0.175112167,-5.553482462,4.468351084,-10.826082500,0.653918839,0.038920432,-0.677257883,-0.737922788,0.000000000,0.000000000,0.000000000,0.000000000,-0.031221122,0.123139784,-2.901061535
1706507474.670806,6.000000000,1.000000000,0.234345675,0.638776720,-0.737703637,-0.031111873,0.123084823,-2.900976891,0.234258926,0.639175955,4.432017540,-5.527648730,-3.515281930,-0.816082652,0.654618836,0.038920429,-6.177157882,4.432017540,-5.527648730,-0.816082652,0.134718070,0.000000000,-7.949964898,0.233799815,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.008864035,-0.011055297,-0.000408041,0.002694361,1.550035102,0.000000000,-0.039749824,0.000886404,-0.001105530,-0.000040804,0.000269436,0.000000000,-0.003974982,-0.712594701,-0.015930791,0.000000000,0.186390782,2.934333755,0.334251681,-0.175112167,-5.567982460,4.472351270,-10.816082652,0.654618836,0.038920429,-0.677157882,-0.737922788,0.000000000,0.000000000,0.000000000,0.000000000,-0.031221122,0.123139784,-2.901061535
1706507474.770656,6.000000000,1.000000000,0.234321252,0.638890088,-0.737676027,-0.031156507,0.123052184,-2.900951423,0.234232462,0.639168946,4.265516066,-4.938725544,-3.577467183,-1.030083063,0.657421436,0.033370422,-6.086158659,4.265516066,-4.938725544,-1.030083063,0.072532817,0.000000000,-7.792365086,0.234077360,0.000127578,-0.000419949,-0.000023167,-0.000035577,-0.000000480,-0.001129131,0.008467243,-0.009667477,-0.000503458,0.001486233,1.707634914,0.000000480,-0.037832694,0.000974303,-0.001386696,-0.000073513,0.000113047,-0.000000432,-0.004912400,-0.712594701,-0.015930791,0.000000000,0.186390782,2.934333755,0.334251681,-0.175112167,-5.734483934,5.061274456,-11.030083063,0.657421436,0.033370422,-0.586158659,-0.737860441,0.000000000,0.000000000,0.000000000,0.000000000,-0.031189818,0.123124301,-2.901037693
1706507474.870696,6.000000000,1.000000000,0.234321252,0.638890088,-0.737562538,-0.031104975,0.123030511,-2.900916267,0.234196457,0.639378622,3.863516068,-4.264725471,-3.666027275,-1.286583307,0.647871440,0.025270422,-6.074158658,3.863516068,-4.264725471,-1.286583307,-0.016027275,0.000000000,-7.619565085,0.240047360,0.000000000,-0.000000000,0.000000000,-0.000000000,0.000000000,-0.000000000,0.007727032,-0.008529451,-0.000643292,-0.000320545,1.880434915,-0.000000000,-0.038097825,0.000772703,-0.000852945,-0.000064329,-0.000032055,0.000000000,-0.003809783,-0.712594701,-0.015930791,0.000000000,0.186390782,2.934333755,0.334251681,-0.175112167,-6.136483932,5.735274529,-11.286583307,0.647871440,0.025270422,-0.574158658,-0.737860441,0.000000000,0.000000000,0.000000000,0.000000000,-0.031189818,0.123124301,-2.901037693
1706507474.970714,6.000000000,1.000000000,0.234305590,0.638928294,-0.737629756,-0.031145676,0.123056225,-2.900951526,0.234232672,0.639271039,3.382015534,-3.279595338,-3.789996522,-1.649584479,0.634623107,0.014370418,-6.050009157,3.382015534,-3.279595338,-1.649584479,-0.139996522,0.000000000,-7.402815370,0.245999875,0.000162442,-0.000044973,0.000002304,0.000090116,-0.000000228,-0.000398237,0.006682810,-0.006536704,-0.000825944,-0.002890047,2.097184630,0.000000228,-0.036615840,0.000830723,-0.000698643,-0.000080291,-0.000198888,-0.000000205,-0.004059821,-0.712594701,-0.015930791,0.000000000,0.186390782,2.934333755,0.334251681,-0.175112167,-6.617984466,6.720404662,-11.649584479,0.634623107,0.014370418,-0.550009157,-0.737831116,0.000000000,0.000000000,0.000000000,0.000000000,-0.031191304,0.123110123,-2.901022434
1706507475.070812,6.000000000,1.000000000,0.234285638,0.639022589,-0.737585554,-0.031164346,0.123044681,-2.900941591,0.234222516,0.639337101,3.026516332,-2.639064711,-3.938225914,-1.998584661,0.603575216,0.007770424,-6.162159794,3.026516332,-2.639064711,-1.998584661,-0.288225914,0.000000000,-7.372766327,0.251842352,0.000161264,-0.000234981,-0.000018368,-0.000035742,0.000000737,-0.000938308,0.005972401,-0.005160639,-0.000990108,-0.005728777,2.127233673,-0.000000737,-0.035925524,0.000758504,-0.000751045,-0.000117379,-0.000608619,0.000000663,-0.004530860,-0.712594701,-0.015930791,0.000000000,0.186390782,2.934333755,0.334251681,-0.175112167,-6.973483668,7.360935289,-11.998584661,0.603575216,0.007770424,-0.662159794,-0.737776101,0.000000000,0.000000000,0.000000000,0.000000000,-0.031177381,0.123095602,-2.901003122
1706507475.170630,6.000000000,1.000000000,0.234280810,0.639047980,-0.737511857,-0.031145589,0.123045335,-2.900938764,0.234219405,0.639485507,2.540515499,-1.846679331,-4.056891330,-2.339583217,0.593575733,-0.007079583,-6.192859947,2.540515499,-1.846679331,-2.339583217,-0.406891330,0.000000000,-7.209066147,0.254002374,0.000040314,-0.000062880,-0.000005936,-0.000016421,-0.000000494,-0.000251369,0.005060874,-0.003661919,-0.001166824,-0.008121406,2.290933853,0.000000494,-0.035793961,0.000546402,-0.000429072,-0.000122618,-0.000828561,-0.000000444,-0.003830765,-0.712594701,-0.015930791,0.000000000,0.186390782,2.934333755,0.334251681,-0.175112167,-7.459484501,8.153320669,-12.339583217,0.593575733,-0.007079583,-0.692859947,-0.737761497,0.000000000,0.000000000,0.000000000,0.000000000,-0.031173583,0.123092160,-2.900998354
1706507475.414968,6.000000000,1.000000000,0.234260678,0.639279306,-0.737545279,-0.031164027,0.123066849,-2.900964803,0.234246444,0.639444827,2.040012849,-0.487656585,-4.237472329,-2.834580562,0.563427877,-0.024379595,-6.410210590,2.040012849,-0.487656585,-2.834580562,-0.587472329,0.000000000,-7.226215729,0.254219956,0.000318871,-0.000250776,-0.000071645,-0.000480655,-0.000001045,-0.002233223,0.003920590,-0.000849925,-0.001381468,-0.011268791,2.273784271,0.000001045,-0.033897855,0.000710930,-0.000335768,-0.000209792,-0.001607534,-0.000000941,-0.005623009,-0.712594701,-0.015930791,0.000000000,0.186390782,2.934333755,0.334251681,-0.175112167,-7.959987151,9.512343415,-12.834580562,0.563427877,-0.024379595,-0.910210590,-0.737635434,0.000000000,0.000000000,0.000000000,0.000000000,-0.031167967,0.123077318,-2.900978565
1706507475.515164,6.000000000,1.000000000,0.234260678,0.639279306,-0.737325125,-0.031179570,0.123060766,-2.900955419,0.234237105,0.639868598,1.905012715,-0.081156579,-4.249745073,-2.894581172,0.560927876,-0.033129592,-6.450060591,1.905012715,-0.081156579,-2.894581172,-0.599745073,0.000000000,-7.212065677,0.250194963,-0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.003810025,-0.000162313,-0.001447291,-0.011994901,2.287934323,-0.000000000,-0.036060328,0.000381003,-0.000016231,-0.000144729,-0.001199490,0.000000000,-0.003606033,-0.712594701,-0.015930791,0.000000000,0.186390782,2.934333755,0.334251681,-0.175112167,-8.094987285,9.918843421,-12.894581172,0.560927876,-0.033129592,-0.950060591,-0.737635434,0.000000000,0.000000000,0.000000000,0.000000000,-0.031167967,0.123077318,-2.900978565
1706507475.615135,6.000000000,1.000000000,0.234251156,0.639491916,-0.737444145,-0.031193037,0.123076498,-2.900974999,0.234257105,0.639660131,0.999011940,0.720118527,-4.266999420,-3.029081144,0.569428890,-0.055829601,-6.488810890,0.999011940,0.720118527,-3.029081144,-0.616999420,0.000000000,-6.888415666,0.259204981,0.000260270,-0.000132322,-0.000074567,-0.000566299,0.000000186,-0.002031141,0.001867889,0.001506398,-0.001477257,-0.011773689,2.611584334,-0.000000186,-0.032410938,0.000447059,0.000018318,-0.000222292,-0.001743668,0.000000167,-0.005272234,-0.712594701,-0.015930791,0.000000000,0.186390782,2.934333755,0.334251681,-0.175112167,-9.000988060,10.720118527,-13.029081144,0.569428890,-0.055829601,-0.988810890,-0.737523079,0.000000000,0.000000000,0.000000000,0.000000000,-0.031171201,0.123070568,-2.900969267
